province_id,Provinsi,disease_burden_index
1,Aceh,88.07666666666667
2,Bali,403.98166666666674
3,Banten,425.8683333333333
4,Bengkulu,63.54120370370371
5,DI Yogyakarta,193.0183333333333
6,DKI Jakarta,769.4433333333333
7,Gorontalo,78.82833333333333
8,Jambi,86.08666666666666
9,Jawa Barat,1582.647291666667
10,Jawa Tengah,1043.14
11,Jawa Timur,1805.2416666666668
12,Kalimantan Barat,220.5172916666667
13,Kalimantan Selatan,138.95333333333332
14,Kalimantan Tengah,115.44229166666668
15,Kalimantan Timur,262.795
16,Kalimantan Utara,63.78666666666666
17,Kepulauan Bangka Belitung,89.705
18,Kepulauan Riau,182.0583333333333
19,Lampung,227.05000000000004
20,Maluku,152.46
21,Maluku Utara,151.53166666666667
22,Nusa Tenggara Barat,148.315
23,Nusa Tenggara Timur,240.29666666666665
24,Papua,569.045625
25,Papua Barat,224.50000000000003
26,Papua Barat Daya,138.24180555555554
27,Papua Pegunungan,125.02409722222222
28,Papua Selatan,109.18666666666668
29,Papua Tengah,393.14833333333337
30,Riau,207.53333333333333
31,Sulawesi Barat,64.65833333333333
32,Sulawesi Selatan,359.54833333333335
33,Sulawesi Tengah,156.77833333333334
34,Sulawesi Tenggara,133.49166666666667
35,Sulawesi Utara,172.405
36,Sumatera Barat,128.1266666666667
37,Sumatera Selatan,190.819537037037
38,Sumatera Utara,539.1622916666666
