province_id,Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,facility_index
1,Aceh,77,9.0,174,192,183.0
2,Bali,66,16.0,38,82,60.0
3,Banten,111,25.0,63,190,126.5
4,Bengkulu,25,3.0,52,127,89.5
5,DI Yogyakarta,64,16.0,47,74,60.5
6,DKI Jakarta,142,52.0,2,42,22.0
7,Gorontalo,21,1.0,24,71,47.5
8,Jambi,42,3.0,98,110,104.0
9,Jawa Barat,382,54.0,279,827,553.0
10,Jawa Tengah,317,52.0,369,512,440.5
11,Jawa Timur,358,84.0,622,354,488.0
12,Kalimantan Barat,51,8.0,140,112,126.0
13,Kalimantan Selatan,44,8.0,52,190,121.0
14,Kalimantan Tengah,31,3.0,85,120,102.5
15,Kalimantan Timur,54,12.0,91,97,94.0
16,Kalimantan Utara,17,16.0625,20,38,29.0
17,Kepulauan Bangka Belitung,25,4.0,25,39,32.0
18,Kepulauan Riau,34,5.0,28,68,48.0
19,Lampung,64,19.0,162,160,161.0
20,Maluku,28,1.0,94,147,120.5
21,Maluku Utara,21,2.0,57,93,75.0
22,Nusa Tenggara Barat,39,7.0,154,23,88.5
23,Nusa Tenggara Timur,64,3.0,186,255,220.5
24,Papua,18,1.0,44,79,61.5
25,Papua Barat,14,16.0625,26,55,40.5
26,Papua Barat Daya,12,16.0625,18,101,59.5
27,Papua Pegunungan,8,16.0625,23,160,91.5
28,Papua Selatan,8,16.0625,59,26,42.5
29,Papua Tengah,14,16.0625,29,98,63.5
30,Riau,67,14.0,120,122,121.0
31,Sulawesi Barat,14,2.0,59,39,49.0
32,Sulawesi Selatan,100,24.0,306,168,237.0
33,Sulawesi Tengah,37,4.0,125,94,109.5
34,Sulawesi Tenggara,39,4.0,109,199,154.0
35,Sulawesi Utara,52,8.0,99,104,101.5
36,Sumatera Barat,53,30.0,108,172,140.0
37,Sumatera Selatan,72,17.0,110,244,177.0
38,Sumatera Utara,185,23.0,178,441,309.5
