province_id,Provinsi,insurance_coverage_index
1,Aceh,0.1998
2,Bali,0.18316
3,Banten,0.1637
4,Bengkulu,0.1566116129032258
5,DI Yogyakarta,0.18372
6,DKI Jakarta,0.2100523529411764
7,Gorontalo,0.1783
8,Jambi,0.1411923529411764
9,Jawa Barat,0.15052
10,Jawa Tengah,0.1504599999999999
11,Jawa Timur,0.15442
12,Kalimantan Barat,0.14744
13,Kalimantan Selatan,0.1548999999999999
14,Kalimantan Tengah,0.14374
15,Kalimantan Timur,0.18308
16,Kalimantan Utara,0.1951839658444022
17,Kepulauan Bangka Belitung,0.1843923529411764
18,Kepulauan Riau,0.17686
19,Lampung,0.1613799999999999
20,Maluku,0.1341399999999999
21,Maluku Utara,0.15436
22,Nusa Tenggara Barat,0.16216
23,Nusa Tenggara Timur,0.15686
24,Papua,0.16732
25,Papua Barat,0.1580316129032258
26,Papua Barat Daya,0.1757516129032258
27,Papua Pegunungan,0.2233121534437663
28,Papua Selatan,0.1881716129032258
29,Papua Tengah,0.15616
30,Riau,0.1587
31,Sulawesi Barat,0.2162116129032258
32,Sulawesi Selatan,0.17708
33,Sulawesi Tengah,0.1656399999999999
34,Sulawesi Tenggara,0.17216
35,Sulawesi Utara,0.17226
36,Sumatera Barat,0.1698
37,Sumatera Selatan,0.15402
38,Sumatera Utara,0.14454
