province_id,Provinsi,Tenaga Medis,Jumlah Tenaga Medis,Tenaga Kebidanan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Jumlah Tenaga Kesehatan Psikologi Klinis,Jumlah Tenaga Keterapian Fisik,Jumlah Tenaga Keteknisan Medis,Jumlah Tenaga Teknik Biomedika,Jumlah Tenaga Kesehatan Tradisional,workforce_capacity_index
1,Aceh,21,6,21,4,4,1,1,77,484,2,2,27.130434782608692,54.17753623188406
2,Bali,13,8,6,4,1,556,788,53,427,1,2,16.0,156.25
3,Banten,19,12,10,6,1,537,815,91,766,2,3,10.0,189.33333333333331
4,Bengkulu,5,1,5,1,1,330,578,16,86,367,931,27.130434782608692,195.67753623188403
5,DI Yogyakarta,12,6,3,5,490,398,634,178,599,2,2,4.0,194.41666666666663
6,DKI Jakarta,39,28,7,13,1,743,1,333,2,5,8,166.0,112.16666666666669
7,Gorontalo,4,750,2,731,1,248,579,3,39,238,501,27.130434782608692,260.2608695652174
8,Jambi,8,3,7,2,1,474,521,30,218,857,1,9.0,177.58333333333334
9,Jawa Barat,74,33,33,26,4,2,3,263,2,9,12,40.0,41.75
10,Jawa Tengah,66,21,30,25,4,2,3,240,3,8,10,34.0,37.16666666666666
11,Jawa Timur,74,26,33,22,4,2,4,230,2,7,11,187.0,50.16666666666666
12,Kalimantan Barat,11,3,7,2,1,661,853,25,199,1,2,2.0,147.25
13,Kalimantan Selatan,10,3,6,3,1,657,1,57,265,2,2,3.0,84.16666666666667
14,Kalimantan Tengah,8,2,5,2,738,322,584,25,145,617,1,27.130434782608692,206.34420289855072
15,Kalimantan Timur,11,4,5,4,1,390,496,41,406,950,2,6.0,193.0
16,Kalimantan Utara,3,744,1,708,356,126,144,6,51,223,357,27.130434782608692,228.84420289855072
17,Kepulauan Bangka Belitung,4,1,2,1,479,156,247,20,114,402,585,27.130434782608692,169.84420289855072
18,Kepulauan Riau,5,3,3,2,509,342,273,25,140,549,805,2.0,221.5
19,Lampung,13,4,11,3,1,758,806,25,327,1,2,56.0,167.25
20,Maluku,7,1,4,946,2,661,747,11,63,246,825,27.130434782608692,295.0108695652174
21,Maluku Utara,4,838,4,772,2,319,496,3,56,262,812,27.130434782608692,299.5942028985507
22,Nusa Tenggara Barat,13,3,8,3,1,622,1,29,284,2,2,2.0,80.83333333333333
23,Nusa Tenggara Timur,16,2,12,3,3,1,2,11,191,2,2,1.0,20.5
24,Papua,4,928,2,963,661,240,333,2,41,159,789,27.130434782608692,345.76086956521743
25,Papua Barat,2,442,1,451,339,90,186,3,26,96,332,1.0,164.08333333333334
26,Papua Barat Daya,2,428,1,415,427,144,238,3,13,81,228,27.130434782608692,167.2608695652174
27,Papua Pegunungan,1,221,613,202,316,74,74,1,5,20,144,64.0,144.58333333333334
28,Papua Selatan,2,324,992,272,272,90,125,2,17,67,231,27.130434782608692,201.76086956521735
29,Papua Tengah,3,523,1,501,492,196,150,4,21,97,404,27.130434782608692,201.59420289855072
30,Riau,13,6,10,4,2,487,770,60,466,1,2,2.0,151.91666666666666
31,Sulawesi Barat,4,665,4,692,947,278,340,1,57,182,353,27.130434782608692,295.8442028985507
32,Sulawesi Selatan,27,7,20,6,5,1,2,21,615,3,4,5.0,59.66666666666666
33,Sulawesi Tengah,9,2,7,2,3,714,688,32,135,570,1,2.0,180.41666666666663
34,Sulawesi Tenggara,10,2,8,3,4,795,1,16,129,1,2,27.130434782608692,83.17753623188406
35,Sulawesi Utara,10,3,3,2,1,552,720,17,217,643,904,1.0,256.0833333333333
36,Sumatera Barat,12,5,9,3,2,641,1,31,380,2,2,2.0,90.83333333333331
37,Sumatera Selatan,17,6,15,4,3,1,1,49,418,2,3,27.130434782608692,45.5108695652174
38,Sumatera Utara,24,12,25,5,4,986,2,45,516,2,4,9.0,136.16666666666666
