Provinsi,dim_1,dim_2
Aceh,0.06159720627997932,0.45565738198175065
Sumatera Utara,0.3863093243299298,-0.20948890220556798
Sumatera Barat,0.062151383164354514,0.11117538572322952
Riau,-4.589277406924234e-05,-0.08794750410899163
Jambi,-0.039380422354088375,-0.2977158881762431
Sumatera Selatan,0.24890846771826644,0.025438935808770213
Bengkulu,-0.14284001121508355,-0.17482342818326818
Lampung,0.01802902625951167,-0.08760695541450392
Kepulauan Bangka Belitung,-0.25073307293171415,0.1386292685649139
Kepulauan Riau,-0.26503369726962106,-0.013451447789685418
DKI Jakarta,-0.05505936774572264,0.48478267075795745
Jawa Barat,1.1051841236938436,-0.010170355272626486
Jawa Tengah,0.826215586801047,-0.0029949417007468482
DI Yogyakarta,-0.2257072280533273,0.09396424298863958
Jawa Timur,1.0681149372650631,0.021563016095091914
Banten,-0.007808817722253686,-0.09430858623615308
Bali,-0.1009039708945143,0.14933763544155712
Nusa Tenggara Barat,0.04988255309678008,0.05565377231730211
Nusa Tenggara Timur,0.3450629912383164,0.08911286816855674
Kalimantan Barat,0.054082882427119096,-0.1904400239041962
Kalimantan Tengah,-0.08790873918997721,-0.3164600073768995
Kalimantan Selatan,0.10312412182858982,-0.02216526666130535
Kalimantan Timur,-0.16231468617999514,0.08862029696532868
Kalimantan Utara,-0.3934666167882555,0.15326836975895194
Sulawesi Utara,-0.2473489313563942,-0.11448462178811927
Sulawesi Tengah,-0.09737967042399819,-0.06390253660491296
Sulawesi Selatan,0.2684377173294141,0.226186647460154
Sulawesi Tenggara,0.08464364254866065,0.1449998848552471
Gorontalo,-0.36358031952834635,-0.059856123200480484
Sulawesi Barat,-0.5484970623762214,0.2540597644358109
Maluku,-0.16959295926109716,-0.5459671649251396
Maluku Utara,-0.2963151731765529,-0.35356199232456526
Papua Barat,-0.10584529774347759,-0.1077852869150791
Papua Barat Daya,-0.1722740286366432,0.05741915720313107
Papua,-0.3086404923296455,-0.29239164840100906
Papua Selatan,-0.2974504837065345,0.1261671996314903
Papua Tengah,-0.0853982492235769,-0.18277013626467273
Papua Pegunungan,-0.25821877309976626,0.5522563192962839
